official_id,match_status,nbra_name,name_source,jersey_num,years_experience,college,hometown,birth_date,bio_url,headshot_url,extra_fields
dannica-baroody,override,Dannica Mosher,link-text,89,2nd season,University of Central Florida ’15 and ’18,,"February 25, 1993 (Freeport, Fla.)",https://www.nbra.net/nba-officials/referee-biographies/dannica-mosher/,https://www.nbra.net/wp-content/uploads/2022/10/20220919_RPSM_SFR_0016-e1666107401925.jpg,"{""resides"": ""Orlando, Fla."", ""hs"": ""Freeport (Freeport, Fla.)"", ""favorite tv show"": ""Friends and Ridiculousness"", ""favorite movie"": ""Willy Wonka & the Chocolate Factory"", ""favorite musician"": ""Justin Timberlake"", ""favorite book"": ""Lying with Strangers"", ""favorite meal"": ""Oxtail"", ""favorite app"": ""Yelp"", ""would most like to visit"": ""Thailand"", ""bucket list"": ""Own a cat cafe""}"
rodney-mott,auto,Rodney Mott,link-text,71,26th season,San Diego State ’86,,"September 3, 1957 (New Albany, Ind.)",https://www.nbra.net/nba-officials/referee-biographies/rodney-mott/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0592-e1667421368232.jpg,"{""resides"": ""Las Vegas, Nev."", ""high school"": ""Bishop Turner (Buffalo, N.Y.)"", ""favorite tv show"": ""Black-ish"", ""favorite movie"": ""The Shawshank Redemption"", ""favorite musician"": ""Stevie Wonder"", ""favorite book"": ""World Without Cancer"", ""favorite meal"": ""Vegetable Stir Fry"", ""favorite app"": ""eBay"", ""would most like to visit"": ""Jerusalem"", ""hidden talent"": ""Interior Design""}"
ashley-moyer-gleich,auto,Ashley Moyer-Gleich,link-text,13,6th season,Millersville University '10,,"August 5, 1987 (Lebanon, Pa.)",https://www.nbra.net/nba-officials/referee-biographies/ashley-moyer-gleich/,https://www.nbra.net/wp-content/uploads/2018/11/20220919_RPSM_SFR_0068-e1667315776924.jpg,"{""resides"": ""Camp Hill, Pa."", ""high school"": ""Cedar Crest (Lebanon, Pa.)"", ""favorite tv show"": ""Grey's Anatomy"", ""favorite movie"": ""Face/Off"", ""favorite musician"": ""Michael Jackson"", ""favorite book"": ""Charlotte's Web"", ""favorite meal"": ""Spanish Food"", ""favorite app"": ""Yelp"", ""would most like to visit"": ""Africa"", ""bucket list"": ""See seven wonders of the world"", ""hidden talent"": ""Double Dutch""}"
matt-myers,auto,Matt Myers,link-text,43,6th season,Hampton University '06,,"October 6, 1983 (St. Louis, Mo.)",https://www.nbra.net/nba-officials/referee-biographies/matt-myers/,https://www.nbra.net/wp-content/uploads/2018/12/20220919_RPSM_SFR_0043-e1667315422221.jpg,"{""resides"": ""Washington, D.C."", ""high school"": ""Jefferson City (Jefferson City, Mo.)"", ""favorite tv show"": ""The Wire"", ""favorite movie"": ""The Shawshank Redemption"", ""favorite musician"": ""Jay-Z"", ""favorite book"": ""A Promised Land"", ""favorite meal"": ""Buffalo Wings"", ""favorite app"": ""Words with Friends"", ""would most like to visit"": ""Bora Bora"", ""bucket list"": ""Attend The Masters"", ""hidden talent"": ""Golf""}"
andy-nagy,auto,Andy Nagy,link-text,83,4th Season,Owens Community College '16,,"July 16, 1991 (Toldeo, Ohio)",https://www.nbra.net/nba-officials/referee-biographies/andy-nagy/,https://www.nbra.net/wp-content/uploads/2021/03/20220919_RPSM_SFR_0055-e1667315580293.jpg,"{""resides"": ""Sylvania, Ohio"", ""high school"": ""St. Francis de Sales (Toldeo, Ohio)"", ""favorite tv show"": ""The Equalizer and Seinfeld"", ""favorite musician"": ""ZZ Top"", ""favorite meat"": ""Filet Mignon"", ""favorite app"": ""Amazon"", ""would most like to visit"": ""Maldives"", ""bucket list"": ""To get a hole-in-one"", ""hidden talent"": ""Barbecue Expert""}"
brett-nansel,auto,Brett Nansel,link-text,44,8th season,North Dakota State '01,,"June 10, 1977 (Miles City, Mont.)",https://www.nbra.net/nba-officials/referee-biographies/brett-nansel/,https://www.nbra.net/wp-content/uploads/2016/10/20220919_RPSM_SFR_0184-e1667319696627.jpg,"{""reside"": ""Bozeman, Mont."", ""high school"": ""Custer County District (Miles City, Mont.)"", ""favorite tv show"": ""Anything on Outdoor Channels"", ""favorite movie"": ""Top Gun"", ""favorite musician"": ""Alan Jackson"", ""favorite book"": ""Wooden"", ""favorite meal"": ""Barbecue Ribeye Steak"", ""favorite app"": ""NFHS Network"", ""would most like to visit"": ""Australia"", ""bucket list"": ""Catch a grander (1,000-pound marlin)"", ""hidden talent"": ""Tenor Saxophone""}"
j-t-orr,auto,J.T. Orr,link-text,72,13th season,"Mt. San Antonio College (Walnut, Calif.)",,"October 20, 1973 (Pomona, Calif.)",https://www.nbra.net/nba-officials/referee-biographies/j-t-orr/,https://www.nbra.net/wp-content/uploads/2019/10/Orr-e1571414050654.jpg,"{""resides"": ""LaVerne, Calif."", ""high school"": ""Bonita (LaVerne, Calif.); Glendora (Glendora, Calif.)"", ""favorite tv show"": ""Yellowstone"", ""favorite movie"": ""White Men Can't Jump"", ""favorite musician"": ""Pearl Jam"", ""favorite book"": ""Sully"", ""favorite meal"": ""Biscuits and Gravy"", ""favorite app"": ""Boggle"", ""would most like to visit"": ""Greece"", ""bucket list"": ""Visit every national park"", ""hidden talent"": ""Impressionist painting""}"
gediminas-petraitis,auto,Gediminas Petraitis,link-text,50,9th season,University of Maryland '11,,"February 5, 1989 (Kaunas, Lithuania)",https://www.nbra.net/nba-officials/referee-biographies/gediminas-petraitis/,https://www.nbra.net/wp-content/uploads/2016/10/20220919_RPSM_SFR_0526-e1667419969744.jpg,"{""resides"": ""Kensington, Md."", ""high school"": ""Northwest (Germantown, MD)"", ""favorite tv show"": ""Narcos"", ""favorite movie"": ""Coming to America"", ""favorite musician"": ""Swedish House Mafia"", ""favorite book"": ""The Great Gatsby"", ""favorite meal"": ""Cepelinai"", ""favorite app"": ""Peloton"", ""would most like to visit"": ""Iceland"", ""bucket list"": ""Cycling in French Alps"", ""hidden talent"": ""Ballroom Dancing""}"
jd-ralls,auto,JD Ralls,link-text,94,,,,,https://www.nbra.net/nba-officials/referee-biographies/jd-ralls/,https://www.nbra.net/wp-content/uploads/2025/04/IMG_3673-scaled-e1743536088207.jpeg,"{""favorite tv show"": ""Power"", ""favorite movie"": ""The Forge"", ""favorite musician"": ""Anthony Hamilton"", ""favorite book"": ""Die with Zero"", ""favorite meal"": ""Shrimp Pasta"", ""favorite app"": ""Bible"", ""most like to visit"": ""Maldives"", ""hidden talent"": ""Sign language""}"
phenizee-ransom,auto,Phenizee Ransom,link-text,70,6ht season,University of Georgia '98,,"December 9, 1974 (Atlanta, Ga.)",https://www.nbra.net/nba-officials/referee-biographies/phenizee-ransom/,https://www.nbra.net/wp-content/uploads/2018/12/20220919_RPSM_SFR_0028-e1667315286798.jpg,"{""resides"": ""East Point, Ga."", ""high school"": ""Woodward Academy (College Park, Ga.)"", ""favorite tv show"": ""Jalen & Jacoby"", ""favorite movie"": ""Enter the Dragon"", ""favorite musician"": ""The Foreign Exchange"", ""favorite book"": ""The Tao of Abundance"", ""favorite meal"": ""Hibachi Chicken and Shrimp"", ""favorite app"": ""Shazam"", ""would most like to visit"": ""Cairo"", ""bucket list"": ""Learn to play the piano"", ""hidden talent"": ""Public Speaking""}"
derek-richardson,auto,Derek Richardson,link-text,63,27th season,Los Angeles Dominguez Hills ’91,,"February 3, 1962 (Brooklyn, N.Y.)",https://www.nbra.net/nba-officials/referee-biographies/derek-richardson/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0638-e1667421575177.jpg,"{""resides"": ""Los Angeles, Calif."", ""high school"": ""R.B. Stall (Charleston, S.C.)"", ""favorite tv show"": ""Abbott Elementary"", ""favorite movie"": ""Field of Dreams"", ""favorite musician"": ""Roy Ayers and Marvin Gay"", ""favorite book"": ""Post Traumatic Slave Syndrome"", ""favorite meal"": ""Plankton, Rice & Beans, and Steamed Cabbage"", ""favorite app"": ""SoundHound"", ""would most like to visit"": ""Jerusalem and Sierra Leone""}"
tyler-ricks,auto,Tyler Ricks,link-text,95,,,,,https://www.nbra.net/nba-officials/referee-biographies/tyler-ricks/,https://www.nbra.net/wp-content/uploads/2025/04/IMG_3674-scaled-e1743537392943.jpeg,"{""favorite tv show"": ""The Office"", ""favorite music"": ""Wedding Crashers"", ""favorite musician"": ""Lily Rose"", ""favorite book"": ""James Patterson books"", ""favorite meal"": ""Seafood"", ""favorite apps"": ""ESPN"", ""most like to visit"": ""Japan"", ""bucket list"": ""Take a cooking class in Italy with wife""}"
jenna-schroeder,auto,Jenna Schroeder,link-text,84,5th season,Saginaw Valley State University '09,,"September 27, 1985 (Flint, Mich.)",https://www.nbra.net/nba-officials/referee-biographies/jenna-schroeder/,https://www.nbra.net/wp-content/uploads/2019/10/20220919_RPSM_SFR_0333-e1667417002134.jpg,"{""resides"": ""Detroit, Mich."", ""high school"": ""Clio (Clio, Mich.)"", ""favorite tv show"": ""30 Rock"", ""favorite movie"": ""Dirty Dancing"", ""favorite musician"": ""Bob Seger"", ""would most like to visit"": ""Australia"", ""bucket list"": ""See Billy Joel, Eric Clapton and The Rolling Stones in concert""}"
natalie-sago,auto,Natalie Sago,link-text,9,6th season,University of Missouri-St. Louis '13,,"May 24, 1989 (St. Louis, Mo.)",https://www.nbra.net/nba-officials/referee-biographies/natalie-sago/,https://www.nbra.net/wp-content/uploads/2018/12/20220919_RPSM_SFR_0004-e1667421731157.jpg,"{""resides"": ""Farmington, Mo."", ""high school"": ""Farmington (Farmington, Mo.)"", ""favorite tv show"": ""I (Almost) Got Away With It"", ""favorite movie"": ""Home Alone"", ""favorite musician"": ""P!nk"", ""favorite book"": ""Legacy and the Queen"", ""favorite meal"": ""Pizza"", ""favorite app"": ""Instagram"", ""would most like to visit"": ""Fiji"", ""bucket list"": ""Watch a game in all 30 MLB stadiums (more than halfway there)"", ""hidden talent"": ""Juggling""}"
brandon-schwab,auto,Brandon Schwab,link-text,86,,Central Florida '15,,"October 14, 1992 (Orlando, Fla.)",https://www.nbra.net/nba-officials/referee-biographies/brandon-schwab/,https://www.nbra.net/wp-content/uploads/2022/04/20220919_RPSM_SFR_0048-e1667315495761.jpg,"{""mba experience"": ""3rd Season"", ""resides"": ""Orlando, Fla."", ""high school"": ""West Orange (Winter Garden, Fla.)"", ""favorite tv show"": ""Community"", ""favorite movie"": ""The Matrix"", ""favorite book"": ""Man's Search For Meaning"", ""favorite meal"": ""Panang curry and mango with sticky rice"", ""would most like to visit"": ""Machu Picchu"", ""favorite app"": ""Apple Podcasts""}"
danielle-scott,auto,Danielle Scott,link-text,87,3rd  Season,California State University Northridge,,,https://www.nbra.net/nba-officials/referee-biographies/danielle-scott/,https://www.nbra.net/wp-content/uploads/2022/03/20220919_RPSM_SFR_0195-e1667319769639.jpg,"{""birthday"": ""June 27, 1991"", ""resides"": ""Valley Village, CA"", ""high school"": ""John Burroughs"", ""favorite tv show"": ""Fresh Prince of Bel-Air"", ""favorite movie"": ""Love & Basketball"", ""favorite book"": ""Unlearn"", ""favorite meal"": ""Fettucini Alfredo"", ""favorite app"": ""Pinterest"", ""would most like to visit"": ""Santorini"", ""bucket list"": ""Learn sign language"", ""hidden talent"": ""Photography""}"
evan-scott,auto,Evan Scott,link-text,78,5th Season,Radford University '14,,"May 22, 1992 (Taejon, South Korea)",https://www.nbra.net/nba-officials/referee-biographies/evan-scott/,https://www.nbra.net/wp-content/uploads/2019/10/20220919_RPSM_SFR_0215-e1667319858221.jpg,"{""resides"": ""Richmond, Va."", ""high school"": ""Thomas A. Edison (Alexandria, Va.)"", ""favorite tv show"": ""SportsCenter"", ""favorite movie"": ""Inception"", ""favorite musician"": ""Prince"", ""favorite book"": ""Stalling for Time"", ""favorite meal"": ""Steak and Asparagus"", ""favorite app"": ""FaceTime"", ""would most like to visit"": ""Amalfi Coast""}"
kevin-scott,auto,Kevin Scott,link-text,24,13th season,Georgia Southern University BS ‘00 & MS ‘02,,"April 24, 1978 (Oconee County, S.C.)",https://www.nbra.net/nba-officials/referee-biographies/kevin-scott/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0616-e1667421477960.jpg,"{""resides"": ""Flowery Branch, Ga."", ""high school"": ""Stephens County (Toccoa, Ga.)"", ""favorite tv show"": ""48 Hours"", ""favorite movie"": ""The Shawshank Redemption"", ""favorite musician"": ""Eric Church"", ""favorite book"": ""Friday Night Lights"", ""favorite meal"": ""Cheese Pizza"", ""favorite app"": ""The Weather Channel"", ""would most like to visit"": ""Great Barrier Reef"", ""bucket list"": ""African Safari"", ""hidden talent"": ""Facial Recognition""}"
aaron-smith,auto,Aaron Smith,link-text,51,8th season,West Chester University '10,,"September 11, 1987",https://www.nbra.net/nba-officials/referee-biographies/aaron-smith/,https://www.nbra.net/wp-content/uploads/2016/10/20220919_RPSM_SFR_0269-e1667320695444.jpg,"{""resides"": ""Philadelphia, PA"", ""high school"": ""West Chester East (West Chester, Pa.)"", ""favorite tv show"": ""Homeland"", ""favorite movie"": ""The Shawshank Redemption"", ""favorite musician"": ""John Legend"", ""favorite book"": ""Unbroken"", ""favorite meal"": ""Any breakfast meal"", ""favorite app"": ""Twitter"", ""would most like to visit"": ""Africa"", ""bucket list"": ""Travel to all 50 states""}"
michael-smith,auto,Michael Smith,link-text,38,31st season,,,"February, 5 1955 (Memphis, Tenn.)",https://www.nbra.net/nba-officials/referee-biographies/michael-smith/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0103-e1667316140329.jpg,"{""resides"": ""Memphis, Tenn."", ""high school"": ""South Side (Memphis, Tenn.)"", ""favorite tv show"": ""NCIS: New Orleans"", ""favorite movie"": ""Training Day"", ""favorite musician"": ""Charlie Wilson"", ""favorite book"": ""The President Is Missing"", ""favorite meal"": ""Dinner"", ""favorite app"": ""ESPN"", ""would most like to visit"": ""White House"", ""bucket list"": ""Sky Diving""}"
jonathan-sterling,auto,Jonathan Sterling,link-text,17,7th season,Flagler College '06,,"April 16, 1982 (Hampton, Va.)",https://www.nbra.net/nba-officials/referee-biographies/jonathan-sterling/,https://www.nbra.net/wp-content/uploads/2017/10/20220919_RPSM_SFR_0305-e1667416782338.jpg,"{""resides"": ""Tampa, FL"", ""high school"": ""Satellite Beach High (Satellite Beach, FL)"", ""favorite tv show"": ""Chapelle Show and Brother vs. Brother"", ""favorite movie"": ""Coming to America"", ""favorite musician"": ""Drake"", ""favorite app"": ""Maps"", ""would most like to visit"": ""Australia"", ""bucket list"": ""Dive with sharks"", ""hidden talents"": ""Break Dancing""}"
ben-taylor,auto,Ben Taylor,link-text,46,11th season,Middle Tennessee State Univ. ‘09,,"October 7, 1985 (Murfreesboro, Tenn.)",https://www.nbra.net/nba-officials/referee-biographies/ben-taylor/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0473-e1667419393627.jpg,"{""resides"": ""Orlando, Fla."", ""high school"": ""Cannon County HS (Woodbury, Tenn.)"", ""favorite tv show"": ""The West Wing"", ""favorite movie"": ""Field of Dreams"", ""favorite musician"": ""Brian McKnight"", ""favorite book"": ""Mitch Rapp Series"", ""favorite meal"": ""Cheeseburger and Tater Tots"", ""favorite app"": ""TripIt"", ""would most like to visit"": ""Scotland"", ""bucket list"": ""Play golf at Augusta National"", ""hidden talent"": ""Dancing""}"
dedric-taylor,auto,Dedric Taylor,link-text,21,10th season,Florida International University,,"November 14, 1975 (Miami, Fla.)",https://www.nbra.net/nba-officials/referee-biographies/dedric-taylor/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0308-e1667416885966.jpg,"{""resides"": ""Miami, Fla."", ""high school"": ""North Miami Beach (Miami, Fla.)"", ""favorite tv show"": ""Good Times"", ""favorite movie"": ""Crash"", ""favorite musician"": ""Michael Jackson"", ""favorite book"": ""Tears We Cannot Stop"", ""favorite meal"": ""Breakfast"", ""favorite app"": ""Candy Crush"", ""would most like to visit"": ""Africa"", ""bucket list"": ""Sky Diving"", ""hidden talent"": ""Play the trumpet and juggling""}"
josh-tiven,auto,Josh Tiven,link-text,58,14th season,,,"March 12, 1978 (Norwich, Conn.)",https://www.nbra.net/nba-officials/referee-biographies/joshua-tiven/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0319-e1667416935587.jpg,"{""resides"": ""Waterford, Conn."", ""high school"": ""Ledyard HS (Ledyard, Conn.)"", ""favorite tv show"": ""Seinfeld"", ""favorite movie"": ""Minority Report"", ""favorite musician"": ""Dermot Kennedy"", ""favorite book"": ""Firstborn (novel written by his father, Bruce)"", ""favorite meal"": ""Lasagna"", ""favorite app"": ""Instagram"", ""would most like to travel"": ""Hawaii"", ""bucket list"": ""Play golf at Augusta National"", ""hidden talent"": ""Yo-Yo expert""}"
scott-twardoski,auto,Scott Twardoski,link-text,52,13th season,"Linfield College (McMinnville, Ore.); City University (Renton, Wash.)",,"March 6, 1973 (Enumclaw, WA)",https://www.nbra.net/nba-officials/referee-biographies/scott-twardoski/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0251-e1667320181321.jpg,"{""resides"": ""Peoria, Ariz."", ""high school"": ""Highland (Cowiche, Wash.)"", ""favorite tv show"": ""M*A*S*H"", ""favorite book"": ""Core 52"", ""favorite meal"": ""Steak and Mushrooms"", ""favorite app"": ""Pinochle"", ""would most like to visit"": ""Norway"", ""bucket list"": ""Photograph hot air balloon festivals around the world"", ""hidden talent"": ""Landscape and Astrophotography""}"
justin-van-duyne,auto,Justin Van Duyne,link-text,64,10th season,University of La Verne '05,,"November 8, 1981 (Arcadia, CA)",https://www.nbra.net/nba-officials/referee-biographies/justin-van-duyne/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0344-e1667417174551.jpg,"{""resides"": ""LaVerne, CA"", ""hs"": ""Los Altos High (Hacienda Heights, CA)"", ""favorite tv show"": ""Entourage"", ""favorite movie"": ""The Bourne Movies"", ""favorite musician"": ""Jimmie Allen"", ""favorite book"": ""Moneyball"", ""favorite meal"": ""Filet Mignon"", ""favorite app"": ""The Chive"", ""would most like to visit"": ""Ireland"", ""bucket list"": ""Visit every baseball stadium""}"
scott-wall,auto,Scott Wall,link-text,31,29th season,Emporia State University,,"September 11, 1966 (Jacksonville, Ill.)",https://www.nbra.net/nba-officials/referee-biographies/scott-wall/,https://www.nbra.net/wp-content/uploads/2019/10/Wall-e1571415735293.jpg,"{""resides"": ""Merritt Island, Fla."", ""hs"": ""Shawnee Mission NW (Shawnee, Kan.)"", ""favorite tv show"": ""NCIS"", ""favorite movie"": ""James Bond 007 Movies"", ""favorite musician"": ""Tim McGraw"", ""favorite book"": ""Mitch Rapp Series"", ""favorite meal"": ""Pot Roast"", ""favorite app"": ""Angry Birds"", ""would most like to visit"": ""Rome"", ""bucket list"": ""Sky Dive""}"
cj-washington,auto,CJ Washington,link-text,12,,Southern University '02,,"September 20, 1979 (Baton Rouge, LA)",https://www.nbra.net/nba-officials/referee-biographies/cj-washington/,https://www.nbra.net/wp-content/uploads/2016/10/20220919_RPSM_SFR_0075-e1667315873728.jpg,"{""nbra experience"": ""8th season"", ""resides"": ""The Woodlands, TX"", ""hs"": ""Thibodaux High School (Thibodaux, LA)"", ""favorite tv show"": ""Godfather of Harlem"", ""favorite movie"": ""Life"", ""favorite musician"": ""Anthony Hamilton"", ""favorite book"": ""IXI Rise of the King"", ""favorite meal"": ""Lasagna"", ""would most like to visit"": ""Italy"", ""bucket list"": ""Attend a football game at Notre Dame Stadium""}"
james-williams,auto,James Williams,link-text,60,14th season,Purdue University ‘01,,"May 23, 1979 (Memphis, Tenn.)",https://www.nbra.net/nba-officials/referee-biographies/james-williams/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0599-e1667421415140.jpg,"{""resides"": ""Chicago, Ill."", ""high school"": ""LaPorte HS (LaPorte, Ind.)"", ""favorite tv show"": ""Snowfall"", ""favorite movie"": ""The Shawshank Redmeption"", ""favorite book"": ""1619"", ""favorite meal"": ""Soul Food"", ""favorite app"": ""RefMasters"", ""would most like to visit"": ""Africa"", ""bucket list"": ""Becoming Mayor of Chicago"", ""hidden talent"": ""Throwing a baseball""}"
tom-washington,auto,Tom Washington,link-text,49,33rd season,Norfolk State University ’78,,"December 25, 1957 (Ft. Smith, Ark.)",https://www.nbra.net/nba-officials/referee-biographies/tom-washington/,https://www.nbra.net/wp-content/uploads/2016/05/20220919_RPSM_SFR_0492-e1667419598428.jpg,"{""resides"": ""Atlanta, Ga."", ""high school"": ""Central (Philadelphia, Pa.)"", ""favorite tv show"": ""Martin"", ""favorite movie"": ""Boomerang"", ""favorite musician"": ""Brian Culbertson and Stevie Wonder"", ""favorite book"": ""The Bible"", ""favorite meal"": ""Salmon""}"
